"Active";"PersonUid";"FirstName";"LastName";"MiddleName";"Ssn";"BirthDate";"DeceasedBool";"Gender";"Address"
1;"0562a7f6-0700-476e-914e-db8d5bcfaa51";"Rana";"Hoppe";"Monika";"966-20-9940";"1975-01-04";0;"Male";"Plattsburgh, NY 12901 51 Cedar Swamp Avenue"
1;"05ac61c6-f8b1-4486-b738-d9f9fd50c512";"Gayle";"Conger";"Shelia";"584-79-3805";"1962-03-02";0;"Male";"30 W. Beaver Ridge Court  Evans, GA 30809"
1;"05cc0de5-135a-4af0-978b-1e18de27b27f";"Agneta";"Montemayor";"Janessa";"902-62-7845";"1964-03-03";0;"Male";"San Lorenzo, CA 94580 970 Buttonwood Ave."
1;"05f0493f-8985-4dea-b173-435c40dbce58";"Roxie";"Larry";"Marget";"318-71-1352";"1968-02-03";0;"Female";"9487 Woodside Road  Mcallen, TX 78501"
1;"06916429-a31d-482a-a6ca-d37e6d68fa45";"Marcille";"Blankenship";"Jorrie";"619-60-2238";"1970-04-04";0;"Female";"293 Dunbar Ave.  South El Monte, CA 91733"
1;"06c60db7-bfaa-430a-babf-2624d88b7eaf";"Arlinda";"Funk";"Mersey";"118-48-2846";"1976-04-03";0;"Male";"Virginia Beach, VA 23451 846 Smith Store Drive"
1;"075711c2-c094-444e-84ac-6c940d6dab05";"Collete";"Whittaker";"Davita";"410-82-5380";"1964-01-01";0;"Female";"10 West Railroad Ave.  Glen Burnie, MD 21060"
1;"076bf821-42d1-42bd-913e-c226024d079d";"Celka";"Villegas";"Annadiana";"682-11-5404";"1979-03-01";0;"Female";"7318 Academy St.  Dyersburg, TN 38024"
1;"0859376f-578f-482c-9814-72e739f3d424";"Jobyna";"Boudreau";"Selia";"840-25-6593";"1980-01-04";0;"Male";"Stratford, CT 06614 783 Locust Drive"
1;"086b1175-5b2f-4bdf-b339-fe88afcba09f";"Catharina";"Newton";"Latia";"724-85-7052";"1962-03-03";0;"Male";"Dorchester, MA 02125 9155 West Indian Spring Road"
1;"0880e562-4711-4b6f-97e7-6cac074d1647";"Ariel";"Rocha";"Arlena";"256-38-7967";"1960-04-05";0;"Male";"Clinton Township, MI 48035 800 Cross Lane"
1;"088b1b23-ed76-4b29-85cf-224a6a85de96";"Caryl";"Pitre";"Dayna";"607-77-6057";"1975-03-02";0;"Male";"Mcallen, TX 78501 373 Winchester Street"
1;"08b109aa-50a6-45a2-a8e5-f186b47d23bf";"Margot";"Severson";"Corissa";"453-45-2912";"1973-04-04";0;"Male";"75 Beacon Rd.  Mason City, IA 50401"
1;"090307b1-d085-4ff2-a545-d0a61f6a9d2b";"Alison";"Womack";"Lizzy";"987-34-2657";"1966-03-01";0;"Male";"12 Lyme Avenue  Longwood, FL 32779"
1;"091bcbe2-ee7b-4ff1-964c-41a9e5a0cbad";"Dorelle";"Ali";"Gizela";"774-80-6910";"1963-02-01";0;"Female";"325 Richardson St.  Largo, FL 33771"
1;"095ce512-3aba-4dd3-927f-a282ae5952cd";"Othelia";"Mccarty";"Ernestine";"610-01-9058";"1970-03-01";0;"Male";"Passaic, NJ 07055 18 Old Newbridge Ave."
1;"096a91b2-fece-4ade-bd00-0fdcc6a7b934";"Mary";"Mcewen";"Maren";"226-83-3946";"1971-01-04";0;"Female";"Winter Springs, FL 32708 8182 Mayfair Street"
1;"09791adf-0969-47b2-a5cf-c0a5ea904e7f";"Tate";"Weathers";"Elise";"680-40-9534";"1969-01-02";0;"Male";"932 Madison St.  Des Plaines, IL 60016"
1;"0984e233-3738-4bae-8c0b-88a643138e5e";"Karmen";"Viera";"Tillie";"803-41-0560";"1971-03-03";0;"Male";"95 Hill Drive  South Portland, ME 04106"
1;"099abb04-91cf-40dd-a3e7-4d35d8cd66db";"Julee";"Connolly";"Coretta";"071-18-3554";"1966-01-02";0;"Male";"Buffalo, NY 14215 8567 Fulton Road"
1;"09b5e03d-1002-4b37-aef5-1e52848978b6";"Frances";"Cherry";"Adey";"975-46-1402";"1979-04-02";1;"Female";"Sun Prairie, WI 53590 88 Cedarwood Dr."
1;"09d35d84-3fcd-466e-9dc8-745002bf412b";"Leonie";"Crosby";"Lea";"134-34-3954";"1962-04-02";0;"Female";"Apt 4  Fairfield, CT 06824"
1;"0a4487cb-126d-4fc0-aea9-5ec15347cd40";"Bunnie";"Winston";"Bambi";"643-99-4798";"1963-01-02";0;"Male";"932 Madison St.  Des Plaines, IL 60016"
1;"0a5e8a6c-140d-46b0-b6e6-94f35ca2a345";"Lilly";"Shackelford";"Clea";"439-31-0532";"1978-04-03";0;"Male";"Meadville, PA 16335 98 South Hawthorne St."
1;"0ad47b2c-bd23-4409-b53f-2c098dfab4d7";"Cammy";"Mcfarland";"Harley";"812-56-0899";"1975-04-01";0;"Male";"Virginia Beach, VA 23451 846 Smith Store Drive"
1;"0b17fbad-b38d-483f-a3e6-40ccebaab96b";"Adela";"Hooper";"Simona";"726-38-2513";"1960-04-02";1;"Female";"8657 Wayne Circle  Cedar Falls, IA 50613"
1;"0b53cf31-dff5-43d9-9a71-0b3a4e73b23a";"Cordi";"Rounds";"Addie";"011-05-4284";"1974-01-05";1;"Male";"7367 Arch Drive  Lorain, OH 44052"
1;"0b828773-6634-4a29-b334-120b55f8a9d7";"Chloris";"Love";"Lark";"688-34-4560";"1967-02-04";0;"Male";"Bethesda, MD 20814 414 Greenrose Ave."
1;"0bba063d-401f-4ea6-a88c-8c71c466b118";"Frieda";"Pettway";"Bethanne";"661-19-8899";"1983-02-02";0;"Female";"Fond Du Lac, WI 54935 148 Van Dyke Dr."
1;"0be63f9e-8104-47cb-85fb-b3db59040ff9";"Fedora";"Stamper";"Joletta";"461-34-8744";"1970-04-05";0;"Male";"Dorchester, MA 02125 9155 West Indian Spring Road"
1;"0c357cec-56c6-4c6a-ae60-5071a4a13fd9";"Ranee";"Sturm";"Amelina";"643-25-8381";"1975-02-05";0;"Female";"730 Prairie Dr.  Virginia Beach, VA 23451"
1;"0c4b4778-0055-4a0b-9d4b-cfac7babc52e";"Carla";"Walston";"Candace";"023-86-5490";"1984-01-05";0;"Female";"49 Tower Dr.  Farmingdale, NY 11735"
1;"0c7b99ae-f53c-424a-bb37-bc4562405ab4";"Selena";"Stern";"Amil";"611-01-3805";"1960-03-02";0;"Male";"New Philadelphia, OH 44663 8 W. Morris Road"
1;"0cb7494c-c8da-41db-a20c-8a5435d3eea0";"Birdie";"Hutchens";"Janice";"316-28-2877";"1976-01-02";0;"Female";"Saint Cloud, MN 56301 60 Vermont Dr."
1;"0cd9ac67-e504-40c4-983b-065d56763083";"Diann";"Fulcher";"Nadia";"375-91-0797";"1960-03-02";0;"Female";"45 Essex Lane  Shakopee, MN 55379"
1;"0dff50bf-4d1b-4a4a-8075-c48ed8c083b1";"Lena";"Mojica";"Lianne";"159-98-9642";"1981-02-05";0;"Female";"8297 South Oak Meadow St.  Logansport, IN 46947"
1;"0e3267ed-c53f-452f-a7ee-20244ad746b6";"Devonne";"Weddle";"Corinne";"184-64-4988";"1979-02-02";1;"Female";"525 S. Thompson Street  Superior, WI 54880"
1;"0e36a4f6-ebb5-43c4-8f4d-b84cedd06e00";"Shalne";"Heflin";"Torie";"675-30-5983";"1970-02-02";0;"Male";"265 Old Lakeshore Lane  Linden, NJ 07036"
1;"0e5a6afe-f903-434f-ae7f-8bc4f4e00086";"Jori";"Roark";"Ofelia";"659-66-7715";"1967-02-03";0;"Male";"Piqua, OH 45356 866 Manor Lane"
1;"0e886b83-c7c4-47a4-b53d-b4af181b06e9";"Orella";"Tremblay";"Sheba";"367-30-9068";"1980-03-05";1;"Male";"Cuyahoga Falls, OH 44221 8577 North Country Club Rd."
1;"0ecd9598-6e5b-43c1-8684-dd09c83b12c6";"Marianna";"Tejada";"Gilberte";"206-60-9009";"1979-01-05";0;"Male";"78 Williams St.  Burnsville, MN 55337"
1;"0ef4e8f8-5a35-4667-834f-42d0e8bc4329";"Christalle";"Mckeever";"Bonnie";"477-08-9876";"1985-03-05";0;"Male";"8699 S. Oak Street  Bridgewater, NJ 08807"
1;"0f2a397e-78f2-48e9-af49-fca3a4b5eb6b";"Anallese";"Knotts";"Meridel";"535-82-2038";"1966-02-05";0;"Male";"9971 Young Street  Holland, MI 49423"
1;"0f99a20c-6fd9-4b1a-899c-554928c9af63";"Kipp";"Carver";"Michele";"112-59-4903";"1975-03-04";0;"Female";"43 North Southampton Dr.  Reston, VA 20191"
1;"0fb1c053-4de3-4483-ab92-d7ba0c36d0a9";"Fiorenze";"Lugo";"Joan";"237-80-5440";"1971-04-05";0;"Female";"95 Hill Drive  South Portland, ME 04106"
1;"0ff3ff92-8124-486e-8c29-cf2d01fc878d";"Sella";"Burrow";"Kassia";"562-29-2133";"1985-04-05";0;"Female";"Revere, MA 02151 681 Thorne Ave."
1;"0ff7f74c-154d-4969-9771-6269831f652a";"Saba";"Whitten";"Aryn";"958-57-1809";"1975-04-02";0;"Male";"7898 Jennings Court  Williamstown, NJ 08094"
1;"101b5d87-6d27-416e-8956-99aa7f3cd8ac";"Cindie";"Sides";"Gratiana";"976-84-6154";"1972-04-01";0;"Female";"620 Delaware Lane  West Bend, WI 53095"
1;"10396019-3f5e-430e-840b-c0959c1bf3e0";"Ranee";"Sellers";"Angelita";"794-38-9558";"1967-03-04";0;"Female";"38 Smith Store St.  Reisterstown, MD 21136"
1;"10622f6a-ac58-4783-aae7-b32a94279970";"Cacilia";"Cottrell";"Nicol";"115-63-1486";"1972-04-05";0;"Male";"Vienna, VA 22180 99 West Oak Lane"
1;"10667eb0-4ac5-487b-8d87-681735caa882";"Tedda";"Pullen";"Corissa";"435-58-3279";"1966-01-01";0;"Male";"Saint Augustine, FL 32084 9488 Sutor Road"
1;"10ce38e3-9633-4d43-afe1-f0eebeb2c55d";"Atlanta";"Sessions";"Helenka";"032-53-3028";"1974-01-02";0;"Female";"Port Jefferson Station, NY 11776 7143 Pumpkin Hill Street"
1;"1142edc2-20ef-4e31-819b-9b66dfd03295";"Katalin";"Akin";"Suzy";"709-77-9378";"1970-03-05";0;"Male";"Glasgow, KY 42141 46 Sherwood Court"
1;"1228d493-bcae-45a6-8d87-0e1828c975d5";"Elnore";"Kendrick";"Maureen";"453-48-0859";"1971-01-01";0;"Female";"Belmont, MA 02478 148 Johnson Street"
1;"1235ae5f-6cf8-4dfc-a68b-06daffc42f8a";"Dorelia";"Ragsdale";"Ebba";"975-11-3958";"1981-02-01";0;"Female";"Zionsville, IN 46077 53 South Gregory St."
1;"126d8ce0-4962-4223-aa36-f80bacbeb705";"Melly";"Thornhill";"Lindi";"865-86-3774";"1967-01-03";0;"Female";"3 High Point St.  Rego Park, NY 11374"
1;"127f6273-a0d6-4315-9988-d49e44d6c11c";"Brandy";"Easter";"Nessa";"663-84-9085";"1970-04-03";0;"Male";"Stratford, CT 06614 783 Locust Drive"
1;"12fa00e6-11de-496b-b8c3-27e426d361b6";"Sal";"Robert";"Shoshana";"133-37-6373";"1960-04-05";0;"Male";"57 Vale Rd.  Millington, TN 38053"
1;"13a959c2-1a98-44b3-a719-f68db7ece959";"Drucy";"Holton";"Suellen";"633-90-6129";"1976-04-02";0;"Male";"24 Ketch Harbour St.  Ozone Park, NY 11417"
1;"13dc717b-2edf-4786-9629-201037a85805";"Angelina";"Irwin";"Fernande";"368-85-0914";"1969-02-02";0;"Female";"221 North 53rd St.  Satellite Beach, FL 32937"
1;"13e8d074-3384-495c-9feb-191aedab51b5";"Rosabelle";"Mcclary";"Annabella";"180-95-3888";"1981-04-02";0;"Male";"Passaic, NJ 07055 18 Old Newbridge Ave."
1;"143251ea-42dc-4e31-af30-afde29e7bac0";"Lauralee";"Downing";"Tara";"277-54-7982";"1970-02-05";0;"Male";"Fair Lawn, NJ 07410 2 Spruce St."
1;"143dd6af-912c-4a88-b446-bbef1e1833c4";"Jenica";"Spellman";"Hanna";"619-80-0743";"1970-04-02";0;"Female";"Conyers, GA 30012 9407 Walnutwood Drive"
1;"144b4d7a-639c-49f4-9924-3e9804098b1a";"Ediva";"Morse";"Sheela";"820-92-3355";"1983-01-01";0;"Female";"Lawndale, CA 90260 19 E. Courtland Lane"
1;"146d63b3-c434-4b94-8345-d69dd2dece82";"Ronalda";"Mancini";"Roxane";"054-70-8804";"1965-04-02";0;"Female";"Bay City, MI 48706 8324 Cambridge Dr."
1;"1499dec6-b4e5-4038-a7a1-52c86e5527e1";"Tiff";"Smallwood";"Kerrie";"141-10-4629";"1971-01-04";0;"Female";"7507 Trenton Lane  Staunton, VA 24401"
1;"14a6d9b3-b35b-4abe-87f3-b4c12b803a4b";"Shanon";"Apodaca";"Janot";"911-11-3672";"1979-03-02";0;"Female";"30 W. Beaver Ridge Court  Evans, GA 30809"
1;"14d12b5f-92ca-4abb-b8cf-6ac93828974e";"Simonette";"Shearer";"Alix";"871-20-9287";"1985-04-01";0;"Female";"188 Rocky River Street  Summerville, SC 29483"
1;"14f133dd-2048-4c95-b31a-ac9d30e0a156";"Aubrette";"Mayer";"Pandora";"776-07-1770";"1969-01-01";0;"Female";"Easley, SC 29640 814 Pine Lane"
1;"151ca66f-f98b-47b1-a639-6b59c1b3ddf9";"Andriana";"Simms";"Marta";"805-37-5331";"1977-04-01";0;"Male";"Gaithersburg, MD 20877 9696 Wild Horse Ave."
1;"15a1b58b-08b0-48f7-a8e4-59152ce70776";"Siobhan";"True";"Marcelline";"292-13-3797";"1967-01-05";0;"Female";"Westbury, NY 11590 65 Oak Valley Rd."
1;"15f4851f-5a90-4481-b8e1-2d88405cdcf3";"Rafa";"Kingsley";"Christen";"403-52-2829";"1969-03-05";0;"Female";"52 Kent Ave.  East Lansing, MI 48823"
1;"16320afb-f9e4-45c8-a85a-892a04b80159";"Anna-Maria";"Hefner";"Fredra";"472-01-6788";"1965-02-03";0;"Female";"769 NW. Gonzales Ave.  New Berlin, WI 53151"
1;"16432386-1e6f-4669-acdb-d15d6fbb3b6f";"Jerrine";"Dumas";"Marthe";"052-09-4525";"1982-03-03";0;"Male";"7932C Garfield Ave.  West Islip, NY 11795"
1;"1645ce23-83a6-46e7-b8fc-6482e6f39cd8";"Rivalee";"Mcintyre";"Luisa";"261-84-2331";"1962-03-03";0;"Female";"Beaver Falls, PA 15010 727C W. Church Road"
1;"164699f2-8c82-4576-9c94-f202ae4da48e";"Fawn";"Churchill";"Darcee";"919-10-3158";"1980-02-03";0;"Female";"Falls Church, VA 22041 74 Tunnel Street"
1;"1684a423-2622-4a56-9c48-3964c87b5d1d";"Hilda";"Faulkner";"Audrey";"807-93-4107";"1967-04-02";0;"Female";"Saint Cloud, MN 56301 60 Vermont Dr."
1;"16d3aba4-794c-4f7f-81f9-99783f56179d";"Natassia";"Richter";"Rori";"500-42-6067";"1977-01-04";0;"Male";"Marlborough, MA 01752 350 White Drive"
1;"17123637-ad65-4059-bb7e-0a77e47f908d";"De";"Hughey";"Karita";"600-26-4088";"1963-04-04";0;"Female";"Madison, AL 35758 9071 Park Avenue"
1;"1721082b-9eb6-4422-a450-fac3e9fc8c7b";"Lauri";"Renteria";"Penny";"538-32-8924";"1961-02-02";0;"Female";"Saint Augustine, FL 32084 9488 Sutor Road"
1;"176abcd4-6575-4268-9a2e-5185ffccf348";"Gerda";"Monk";"Morgen";"558-00-7906";"1970-03-01";0;"Male";"188 Rocky River Street  Summerville, SC 29483"
1;"17c64305-1263-4a89-ad38-c88e8e5c4af9";"Theo";"Paris";"Norry";"703-62-6191";"1984-04-04";0;"Female";"Plattsburgh, NY 12901 51 Cedar Swamp Avenue"
1;"18585935-78d9-4ada-bb8f-0246173d2682";"Katie";"Chaney";"Agna";"528-51-0752";"1962-02-05";0;"Female";"Glasgow, KY 42141 46 Sherwood Court"
1;"18c68d2c-086d-43dd-a681-777d5513beb7";"Claudelle";"Tidwell";"Audry";"060-79-8172";"1961-03-03";0;"Male";"7507 Trenton Lane  Staunton, VA 24401"
1;"18ed02c3-6c92-4dde-92f5-07d62aff62ef";"Carlye";"Slone";"Joelynn";"884-91-2091";"1974-03-01";0;"Male";"Zionsville, IN 46077 53 South Gregory St."
1;"192fecde-6c27-498a-8c1f-07c1cb037735";"Rivi";"Granger";"Missy";"283-62-3824";"1979-04-04";0;"Male";"Glasgow, KY 42141 46 Sherwood Court"
1;"193116e6-ae9d-471e-9eea-d4ffefc6412d";"Jodie";"Hass";"Jemima";"642-91-9794";"1975-02-02";0;"Male";"Chicago, IL 60621 29 Sleepy Hollow St."
1;"193bc45b-ccd2-4703-84e2-3a7a4cd316aa";"Elita";"Gustafson";"Faye";"040-11-7754";"1982-04-02";0;"Male";"9678 Oakland Avenue  Indianapolis, IN 46201"
1;"1a619d47-6bdd-4fc9-8666-a5c1be3988a7";"Catlee";"Neuman";"Sisile";"177-68-5848";"1972-01-05";0;"Female";"769 NW. Gonzales Ave.  New Berlin, WI 53151"
1;"1a6820f2-bc07-4a4a-af90-c5c94045547a";"Margalo";"Loveless";"Corly";"608-11-2479";"1981-01-01";0;"Female";"Rolling Meadows, IL 60008 913 Colonial Street"
1;"1ad629db-8480-4fe9-82dd-a38b41a7d056";"Giulietta";"Whittaker";"Daphene";"713-07-3592";"1966-02-02";0;"Female";"Stamford, CT 06902 599 East Hudson Court"
1;"1aefbd16-8c57-4f52-b92e-1f8282d5bb74";"Elicia";"Slack";"Marylinda";"642-75-3876";"1968-02-02";0;"Male";"Defiance, OH 43512 616 Brickyard Avenue"
1;"1b202690-39f6-4616-b3a5-b3af93c4b101";"Dede";"Shore";"Ethel";"515-08-4497";"1982-04-03";0;"Male";"Opa Locka, FL 33054 120 Theatre Street"
1;"1b2247a4-b110-4679-8f5e-f22b71f4a9a3";"Lisa";"Starr";"Emelita";"935-52-6595";"1960-01-03";0;"Female";"Apt 4  Fairfield, CT 06824"
1;"1b7edace-b8e7-4739-852a-625fb79830de";"Margery";"Marshall";"Cam";"849-48-7681";"1964-02-03";0;"Male";"Auburn, NY 13021 660 Evergreen Road"
1;"1c3b55ad-9086-47c3-82f0-eb7192dc52d2";"Cecilla";"Goldman";"Noelani";"262-99-1310";"1967-02-04";0;"Male";"562 Jockey Hollow Road  Princeton, NJ 08540"
1;"1db43dbe-2caa-4986-91b3-e17a64e7def8";"Dulci";"Summerlin";"Gaye";"713-32-2706";"1973-04-03";0;"Male";"Thibodaux, LA 70301 7618 North Lantern Ave."
1;"1ddd18c7-5fd3-4d90-8387-7f765e06954a";"Arlina";"Summers";"Tiffanie";"974-61-9484";"1985-02-01";0;"Female";"Battle Creek, MI 49015 324 Manchester Rd."
1;"1dfbae81-9473-4e47-8552-311a59db0084";"Fernande";"Duggan";"Ludovika";"640-62-8896";"1967-02-05";0;"Male";"Saginaw, MI 48601 15 York St."
1;"1e56f188-2da5-45aa-9896-b5514ebe4e1c";"Lynnea";"Lloyd";"Glory";"204-46-0667";"1971-01-03";0;"Male";"Westbury, NY 11590 65 Oak Valley Rd."
1;"1ec4dfc4-ce59-49aa-a9b1-4c4e09e41ff0";"Cora";"Godfrey";"Crissy";"778-43-4229";"1972-04-05";0;"Male";"26 Wilson Dr.  Summerfield, FL 34491"
1;"1edc5500-1d7f-4e74-9718-3b8b837f240c";"Ludovika";"Saldivar";"Jenica";"095-96-6053";"1971-01-03";0;"Female";"Deer Park, NY 11729 739 S. Longbranch Dr."
1;"1f031d1c-c70c-4379-a705-a2c70143a5ff";"Coralyn";"Dwyer";"Kacie";"219-46-8971";"1972-01-05";0;"Female";"75 Beacon Rd.  Mason City, IA 50401"
1;"1f0b9a7e-6ef7-460a-8561-31cbd95a1f2f";"Natividad";"Kidwell";"Ginger";"356-72-7018";"1977-04-04";0;"Male";"418 Brookside Lane  Pasadena, MD 21122"
1;"1f0bff56-428e-4cca-9f76-79f63cf0130f";"Agnesse";"Messina";"Gladi";"675-46-5422";"1985-04-03";0;"Female";"8297 South Oak Meadow St.  Logansport, IN 46947"
1;"1f9b0e47-6a58-4648-8bf2-519595a34ce9";"Laney";"Barrera";"Kristan";"367-83-4463";"1970-02-04";0;"Male";"Piqua, OH 45356 866 Manor Lane"
1;"1fe0cc9a-5497-4ac4-8a3a-dbe009381604";"Hilary";"Dowell";"Clemence";"154-26-2496";"1966-03-04";0;"Female";"Piqua, OH 45356 866 Manor Lane"
1;"202a1cc3-0896-4a34-87f6-1f8d220c7b22";"Mag";"Olivares";"Anabelle";"849-92-4536";"1967-04-04";0;"Male";"Spartanburg, SC 29301 784 North Cemetery Dr."
1;"2033ab38-2bcb-41dd-a584-631a293ad589";"Leda";"Estes";"Orel";"845-12-7126";"1966-03-01";1;"Female";"680 East Plymouth Drive  Lithonia, GA 30038"
1;"20754f15-e8d0-49a8-b9eb-8f2ae0e2c180";"Christye";"Briley";"Peri";"105-89-0779";"1978-04-04";0;"Female";"159 North St.  Naugatuck, CT 06770"
1;"20827ec9-e972-4e13-8a54-429a0a66f043";"Hally";"Marler";"Kimmi";"151-69-2496";"1966-04-04";0;"Female";"9678 Oakland Avenue  Indianapolis, IN 46201"
1;"20d40ab1-e8c8-4bae-b649-fd677664cb93";"Eleanora";"Pope";"Priscella";"403-27-1214";"1969-01-02";0;"Male";"Saint Augustine, FL 32084 9488 Sutor Road"
1;"2144e8d7-2c6f-4f27-9987-9a9dce88ea54";"Philipa";"Garris";"Philippe";"718-19-0578";"1976-02-01";0;"Male";"Saint Joseph, MI 49085 9672 Summerhouse Lane"
1;"21d7b98a-8bda-4847-acdc-221d36f22ee9";"Jorry";"Goins";"Jessamine";"400-53-4368";"1973-04-05";0;"Female";"Saint Paul, MN 55104 7971 Gulf Ave."
1;"21e0b2ac-80f8-42db-97a2-38f4f85ca1f2";"Bobby";"Bernhardt";"Elinore";"056-10-5997";"1982-01-05";0;"Male";"913 W. Edgefield Street  Zanesville, OH 43701"
1;"22266878-21ea-4954-a852-c12299dcca97";"Shoshana";"Delacruz";"Aubrey";"110-59-5046";"1963-01-02";0;"Male";"7343 West Peg Shop Street  Matthews, NC 28104"
1;"2256ab73-5676-4dbb-a586-44bc032f4001";"Jamima";"Curley";"Lainey";"010-62-1581";"1964-04-03";0;"Male";"9204 Old Beach Street  Huntington, NY 11743"
1;"22b2cdc8-7b97-4326-9683-e5da9f0fe512";"Rivkah";"Fortenberry";"Em";"916-69-1325";"1964-02-05";0;"Male";"82 Fieldstone Lane  Westland, MI 48185"
1;"23c3a05d-2db0-46b8-914c-5e9168097a97";"Sabrina";"Larry";"Ofilia";"294-86-0547";"1976-04-01";0;"Female";"7507 Trenton Lane  Staunton, VA 24401"
1;"2407b870-4e29-4e17-9fa8-876dbb9c8bff";"Stevana";"Borden";"Tessie";"273-95-4677";"1980-02-04";0;"Female";"Saint Cloud, MN 56301 60 Vermont Dr."
